C:\Users\jnajmon\PycharmProjects\ANN_derivatives_TO\venv\Scripts\python.exe "C:\Program Files\JetBrains\PyCharm 2021.2.3\plugins\python\helpers\pydev\pydevconsole.py" --mode=client --port=65263
import sys; print('Python %s on %s' % (sys.version, sys.platform))
sys.path.extend(['C:\\Users\\jnajmon\\PycharmProjects\\ANN_derivatives_TO', 'C:/Users/jnajmon/PycharmProjects/ANN_derivatives_TO'])
Python 3.9.5 (tags/v3.9.5:0a7dcbd, May  3 2021, 17:27:52) [MSC v.1928 64 bit (AMD64)]
Type 'copyright', 'credits' or 'license' for more information
IPython 8.14.0 -- An enhanced Interactive Python. Type '?' for help.
PyDev console: using IPython 8.14.0
Python 3.9.5 (tags/v3.9.5:0a7dcbd, May  3 2021, 17:27:52) [MSC v.1928 64 bit (AMD64)] on win32
runfile('C:/Users/jnajmon/PycharmProjects/ANN_derivatives_TO/Run_SIMPTO_noANN.py', wdir='C:/Users/jnajmon/PycharmProjects/ANN_derivatives_TO')
| niter |f evals|CG iter|  obj func   |tr radius |   opt    |  c viol  | penalty  |barrier param|CG stop|
|-------|-------|-------|-------------|----------|----------|----------|----------|-------------|-------|
|   1   |   1   |   0   | +3.5648e+02 | 1.00e+00 | 4.40e+00 | 0.00e+00 | 1.00e+00 |  1.00e-01   |   0   |
C:\Users\jnajmon\PycharmProjects\ANN_derivatives_TO\venv\lib\site-packages\scipy\optimize\_hessian_update_strategy.py:182: UserWarning: delta_grad == 0.0. Check if the approximated function is linear. If the function is linear better results can be obtained by defining the Hessian as zero instead of using quasi-Newton approximations.
  warn('delta_grad == 0.0. Check if the approximated '
|   2   |   2   |   1   | +3.2321e+02 | 7.00e+00 | 1.56e+00 | 1.11e-16 | 1.00e+00 |  1.00e-01   |   2   |
|   3   |   3   |   3   | +2.8696e+02 | 1.40e+01 | 4.78e-01 | 5.55e-17 | 1.00e+00 |  1.00e-01   |   4   |
|   4   |   4   |   6   | +2.4079e+02 | 2.91e+01 | 1.79e-01 | 1.11e-16 | 1.00e+00 |  1.00e-01   |   4   |
|   5   |   5   |  21   | +2.1787e+02 | 2.91e+01 | 1.18e-01 | 5.55e-17 | 1.00e+00 |  1.00e-01   |   4   |
|   6   |   6   |  47   | +2.1787e+02 | 2.91e+00 | 1.18e-01 | 5.55e-17 | 1.00e+00 |  1.00e-01   |   2   |
|   7   |   7   |  50   | +2.0328e+02 | 2.04e+01 | 9.33e-02 | 1.11e-16 | 1.00e+00 |  1.00e-01   |   2   |
|   8   |   8   |  79   | +1.8734e+02 | 1.43e+02 | 6.95e-02 | 1.11e-16 | 1.00e+00 |  1.00e-01   |   2   |
|   9   |   9   |  114  | +1.8171e+02 | 1.43e+02 | 6.22e-02 | 0.00e+00 | 1.00e+00 |  1.00e-01   |   4   |
|  10   |  10   |  162  | +1.7957e+02 | 1.43e+02 | 5.76e-02 | 1.11e-16 | 1.00e+00 |  1.00e-01   |   4   |
