C:\Users\jnajmon\PycharmProjects\ANN_derivatives_TO\venv\Scripts\python.exe "C:\Program Files\JetBrains\PyCharm 2021.2.3\plugins\python\helpers\pydev\pydevconsole.py" --mode=client --port=59645
import sys; print('Python %s on %s' % (sys.version, sys.platform))
sys.path.extend(['C:\\Users\\jnajmon\\PycharmProjects\\ANN_derivatives_TO', 'C:/Users/jnajmon/PycharmProjects/ANN_derivatives_TO'])
Python 3.9.5 (tags/v3.9.5:0a7dcbd, May  3 2021, 17:27:52) [MSC v.1928 64 bit (AMD64)]
Type 'copyright', 'credits' or 'license' for more information
IPython 8.14.0 -- An enhanced Interactive Python. Type '?' for help.
PyDev console: using IPython 8.14.0
Python 3.9.5 (tags/v3.9.5:0a7dcbd, May  3 2021, 17:27:52) [MSC v.1928 64 bit (AMD64)] on win32
runfile('C:/Users/jnajmon/PycharmProjects/ANN_derivatives_TO/Run_HBTO_ANN.py', wdir='C:/Users/jnajmon/PycharmProjects/ANN_derivatives_TO')
2023-07-05 21:54:18.766368: W tensorflow/tsl/framework/cpu_allocator_impl.cc:83] Allocation of 6635520000 exceeds 10% of free system memory.
2023-07-05 21:54:19.371547: W tensorflow/tsl/framework/cpu_allocator_impl.cc:83] Allocation of 6635520000 exceeds 10% of free system memory.
2023-07-05 21:54:31.910016: W tensorflow/tsl/framework/cpu_allocator_impl.cc:83] Allocation of 6635520000 exceeds 10% of free system memory.
2023-07-05 21:54:32.496056: W tensorflow/tsl/framework/cpu_allocator_impl.cc:83] Allocation of 6635520000 exceeds 10% of free system memory.
| niter |f evals|CG iter|  obj func   |tr radius |   opt    |  c viol  | penalty  |barrier param|CG stop|
|-------|-------|-------|-------------|----------|----------|----------|----------|-------------|-------|
|   1   |   1   |   0   | +2.5561e+02 | 1.00e+00 | 1.03e+00 | 5.55e-17 | 1.00e+00 |  1.00e-01   |   0   |
2023-07-05 21:55:56.447834: W tensorflow/tsl/framework/cpu_allocator_impl.cc:83] Allocation of 6635520000 exceeds 10% of free system memory.
|   2   |   2   |   1   | +2.4237e+02 | 7.00e+00 | 8.73e-01 | 1.54e-05 | 1.00e+00 |  1.00e-01   |   2   |
|   3   |   3   |   4   | +2.2203e+02 | 1.81e+01 | 4.03e-01 | 9.69e-05 | 1.00e+00 |  1.00e-01   |   4   |
WARNING:tensorflow:5 out of the last 5 calls to <function pfor.<locals>.f at 0x000002239F166550> triggered tf.function retracing. Tracing is expensive and the excessive number of tracings could be due to (1) creating @tf.function repeatedly in a loop, (2) passing tensors with different shapes, (3) passing Python objects instead of tensors. For (1), please define your @tf.function outside of the loop. For (2), @tf.function has reduce_retracing=True option that can avoid unnecessary retracing. For (3), please refer to https://www.tensorflow.org/guide/function#controlling_retracing and https://www.tensorflow.org/api_docs/python/tf/function for  more details.
|   4   |   4   |   7   | +2.0797e+02 | 2.09e+01 | 1.34e-01 | 1.14e-04 | 1.00e+00 |  1.00e-01   |   4   |
WARNING:tensorflow:6 out of the last 6 calls to <function pfor.<locals>.f at 0x000002239F166430> triggered tf.function retracing. Tracing is expensive and the excessive number of tracings could be due to (1) creating @tf.function repeatedly in a loop, (2) passing tensors with different shapes, (3) passing Python objects instead of tensors. For (1), please define your @tf.function outside of the loop. For (2), @tf.function has reduce_retracing=True option that can avoid unnecessary retracing. For (3), please refer to https://www.tensorflow.org/guide/function#controlling_retracing and https://www.tensorflow.org/api_docs/python/tf/function for  more details.
|   5   |   5   |  12   | +1.9520e+02 | 2.79e+01 | 5.54e-02 | 1.66e-04 | 1.00e+00 |  1.00e-01   |   4   |
|   6   |   6   |  18   | +1.8997e+02 | 2.79e+01 | 4.07e-02 | 3.67e-05 | 1.00e+00 |  1.00e-01   |   4   |
